athlete_id,event
1539615,Skeet Men
1539615,Skeet Mixed Team
1539628,25m Rapid Fire Pistol Men
1539636,10m Air Rifle Men
1539636,10m Air Rifle Mixed Team
1539643,10m Air Pistol Men
1539643,10m Air Pistol Mixed Team
1539683,Men -66 kg
1539720,10m Air Rifle Men
1539720,10m Air Rifle Mixed Team
1539747,50m Rifle 3 Positions Women
1539752,25m Pistol Women
1539754,10m Air Rifle Women
1539754,10m Air Rifle Mixed Team
1539757,Trap Women
1539767,10m Air Pistol Women
1539767,10m Air Pistol Mixed Team
1539849,Mens Singles
1539886,Mens Sabre Individual
1539948,Womens Singles
1539950,Men
1539951,Men
1539952,Men
1539954,Womens 66kg
1539959,Mens 3m Springboard
1539961,Womens 1500m
1539962,Mens 1500m
1539963,Womens Marathon
1539966,Womens 4 x 100m Freestyle Relay
1539966,Relay Only Athlete
1539968,Mens 4 x 100m Medley Relay
1539968,Relay Only Athlete
1539969,Mens 10km
1539969,Mens 1500m Freestyle
1539969,Mens 800m Freestyle
1539971,Womens Road Race
1539974,Womens Madison
1539974,Womens Omnium
1539974,Womens Team Pursuit
1539976,Womens Team Pursuit
1539977,Womens Madison
1539977,Womens Omnium
1539977,Womens Team Pursuit
1539978,Womens Madison
1539978,Womens Team Pursuit
1539982,Womens Madison
1539982,Womens Team Pursuit
1539983,Mens Road Race
1539985,Womens Individual Stroke Play
1539986,Men
1539986,Mens Pommel Horse
1539990,Womens Pair
1539991,Womens Four
1539992,Womens Four
1539993,Lightweight Womens Double Sculls
1539998,Womens Pair
1540039,Mens Individual Stroke Play
1540108,Men
1540112,Men
1540120,Men
1540143,Men
1540144,Men
1540173,Womens Dinghy
1540175,Men
1540176,Womens Dinghy
1540177,Men
1540178,Men
1540179,Men
1540180,Men
1540181,Men
1540184,Womens 100m Freestyle
1540190,Womens 100m Backstroke
1540216,Womens Individual
1540226,Mens Individual
1540262,Mens Greco-Roman 130kg
1540263,Mens Greco-Roman 60kg
1540273,Womens Freestyle 53kg
1540275,Womens Freestyle 76kg
1540278,Womens Freestyle 62kg
1540305,Mens Freestyle 97kg
1540310,Mens 61kg
1540334,Mens +102kg
1540335,Mens 102kg
1540349,Mens 63.5kg
1540351,Mens +92kg
1540352,Womens 50kg
1540353,Womens 66kg
1540354,Womens 60kg
1540497,Men
1540498,Men
1540499,Men
1540516,Men
1540533,Men
1540534,Men
1540536,Men
1540537,Men
1540538,Men
1540539,Men
1540543,Men
1540583,Mens Singles
1540603,Men
1540605,Men
1540621,Men
1540623,Men
1540624,Men
1540625,Men
1540647,Mens Street
1540688,Womens Canoe Single 200m
1540691,Mens 100m Freestyle
1540691,Mens 50m Freestyle
1540692,Mens Windsurfing
1540693,Mens Dinghy
1540694,10m Air Pistol Men
1540695,Women
1540701,Womens 54kg
