athlete_id,medal_date,medal_code,event_id,country_id,name,birth_date,gender,height,weight,education,country,disciplines,Gold Medal,Silver Medal,Bronze Medal,Total
1538277,2024-08-09,3.0,Women,ARG,Julieta JANKUNAS,1999-01-20,Female,0.0,0.0,"Business Administration, Blas Pascal University, Argentina. Now studying psychology",Argentina,Hockey,1,1,1,3
1538294,2024-08-09,3.0,Women,ARG,Valentina RAPOSO RUIZ de los LLANOS,2003-01-28,Female,0.0,0.0,"Communications, San Martin University, Argentina",Argentina,Hockey,1,1,1,3
1538295,2024-08-09,3.0,Women,ARG,Rocio SANCHEZ MOCCIA,1988-08-02,Female,0.0,0.0,Public Relations. Undertook a course in marketing at the Century 21 University in Argentina,Argentina,Hockey,1,1,1,3
1538299,2024-08-09,3.0,Women,ARG,Victoria SAUZE VALDEZ,1991-07-21,Female,0.0,0.0,Studied Accounting,Argentina,Hockey,1,1,1,3
1538304,2024-08-09,3.0,Women,ARG,Sofia TOCCALINO,1997-03-20,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1538305,2024-08-09,3.0,Women,ARG,Eugenia TRINCHINETTI,1997-07-17,Female,0.0,0.0,"",Argentina,Hockey,1,1,1,3
1539969,2024-07-30,1.0,Men's 800m Freestyle,IRL,Daniel WIFFEN,2001-07-14,Male,0.0,0.0,Studies Computer Science at Loughborough University (GBR),Ireland,Swimming,4,0,3,7
1539969,2024-07-30,1.0,Men's 800m Freestyle,IRL,Daniel WIFFEN,2001-07-14,Male,0.0,0.0,Studies Computer Science at Loughborough University (GBR),Ireland,Marathon Swimming,4,0,3,7
1539969,2024-08-04,3.0,Men's 1500m Freestyle,IRL,Daniel WIFFEN,2001-07-14,Male,0.0,0.0,Studies Computer Science at Loughborough University (GBR),Ireland,Swimming,4,0,3,7
1539969,2024-08-04,3.0,Men's 1500m Freestyle,IRL,Daniel WIFFEN,2001-07-14,Male,0.0,0.0,Studies Computer Science at Loughborough University (GBR),Ireland,Marathon Swimming,4,0,3,7
1539986,2024-08-03,1.0,Men's Pommel Horse,IRL,Rhys MC CLENAGHAN,1999-07-21,Male,0.0,0.0,"Sport Studies at Bangor SERC, Northern Ireland",Ireland,Artistic Gymnastics,4,0,3,7
1540305,2024-08-11,1.0,Men's Freestyle 97kg,BRN,Akhmed TAZHUDINOV,2003-01-25,Male,0.0,0.0,"",Bahrain,Wrestling,2,1,1,4
1540334,2024-08-10,3.0,Men's +102kg,BRN,Gor MINASYAN,1994-10-25,Male,0.0,0.0,Studied at Gyumri State Pedagogical Institute (ARM),Bahrain,Weightlifting,2,1,1,4
1540353,2024-08-09,1.0,Women's 66kg,ALG,Imane KHELIF,1999-05-02,Female,178.0,0.0,"",Algeria,Boxing,2,0,1,3
1541265,2024-08-03,3.0,Women's Individual,FRA,Lisa BARBELIN,2000-04-10,Female,0.0,0.0,"Studies Chemistry at Sorbonne University (Paris, FRA)",France,Archery,16,26,22,64
1541270,2024-07-29,2.0,Men's Team,FRA,Baptiste ADDIS,2006-12-07,Male,0.0,0.0,"Studies at the National Institute of Sport and Physical Education (Paris, FRA)",France,Archery,16,26,22,64
1541272,2024-07-29,2.0,Men's Team,FRA,Thomas CHIRAULT,1997-09-15,Male,0.0,0.0,"Received a Bachelor's degree in Chemistry in 2019 and is now pursuing a degree in Materials Engineering from the Sorbonne University (Paris, FRA)",France,Archery,16,26,22,64
1541275,2024-07-29,2.0,Men's Team,FRA,Jean-Charles VALLADONT,1989-03-20,Male,0.0,0.0,"Studied Commerce at the National Institute of Sport and Physical Education (Paris, FRA)",France,Archery,16,26,22,64
1541614,2024-08-02,3.0,Mixed Doubles,JPN,WATANABE Yuta,1997-06-13,Male,167.0,0.0,"",Japan,Badminton,20,12,13,45
1541619,2024-08-02,3.0,Mixed Doubles,JPN,HIGASHINO Arisa,1996-08-01,Female,160.0,0.0,"",Japan,Badminton,20,12,13,45
1541629,2024-08-03,3.0,Women's Doubles,JPN,SHIDA Chiharu,1997-04-29,Female,162.0,0.0,"",Japan,Badminton,20,12,13,45
1541630,2024-08-03,3.0,Women's Doubles,JPN,MATSUYAMA Nami,1998-06-28,Female,166.0,0.0,Graduated in 2018 from Kyushu International University High School (JPN),Japan,Badminton,20,12,13,45
1543015,2024-08-08,3.0,Men,IND,Sreejesh PARATTU RAVEENDRAN,1988-05-08,Male,0.0,0.0,"History - Sree Narayana College, Kollam, India",India,Hockey,0,1,5,6
1543017,2024-08-08,3.0,Men,IND,Harmanpreet SINGH,1996-01-06,Male,0.0,0.0,"Lovely Professional University, Jalandhar, IND",India,Hockey,0,1,5,6
1543019,2024-08-08,3.0,Men,IND,Jarmanpreet SINGH,1996-07-18,Male,0.0,0.0,"",India,Hockey,0,1,5,6
1543020,2024-08-08,3.0,Men,IND,Hardik SINGH,1998-09-23,Male,0.0,0.0,"",India,Hockey,0,1,5,6
