athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,education,Gold Medal,Silver Medal,Bronze Medal,Total
1544179,2024-08-11,Bronze Medal,Weightlifting,Great Britain,Emily CAMPBELL,1994-05-06,Female,0.0,0.0,Received a Bachelor's degree in Sport Science from Leeds Beckett University (GBR) in 2016,14,22,29,65
1544218,2024-08-09,Gold Medal,Sport Climbing,Great Britain,Toby ROBERTS,2005-03-15,Male,174.0,0.0,"",14,22,29,65
1544424,2024-08-10,Silver Medal,Weightlifting,Armenia,Varazdat LALAYAN,1999-05-01,Male,0.0,0.0,"",0,3,1,4
1544454,2024-08-01,Bronze Medal,Rowing,Ireland,Daire LYNCH,1998-06-19,Male,0.0,0.0,"Graduated in 2022 with a Bachelor's degree in Arts, Economics from Yale University (North Haven, CT, USA)",4,0,3,7
1544803,2024-08-09,Silver Medal,Wrestling,IR Iran,Hassan YAZDANICHARATI,1994-12-26,Male,0.0,0.0,"Physical Education, Public Administration at Islamic Azad University (Qaem Shahr, IRI)",3,6,3,12
1544830,2024-08-11,Silver Medal,Wrestling,IR Iran,Rahman AMOUZADKHALILI,2002-07-17,Male,0.0,0.0,"",3,6,3,12
1544880,2024-08-08,Silver Medal,Wrestling,IR Iran,Alireza MOHMADIPIANI,2002-10-30,Male,0.0,0.0,"",3,6,3,12
1544882,2024-08-06,Bronze Medal,Wrestling,IR Iran,Amin MIRZAZADEH,1998-01-08,Male,0.0,0.0,"",3,6,3,12
1544897,2024-08-07,Gold Medal,Wrestling,IR Iran,Mohammadhadi SARAVI,1998-01-06,Male,0.0,0.0,"",3,6,3,12
1544928,2024-08-08,Gold Medal,Wrestling,IR Iran,Saeid ESMAEILI LEIVESI,2003-07-15,Male,0.0,0.0,"",3,6,3,12
1545116,2024-08-11,Silver Medal,Modern Pentathlon,France,Elodie CLOUVEL,1989-01-14,Female,0.0,0.0,"Business, English, Sport Studies - National Institute of Sport and Physical Education (Paris, FRA)",16,26,22,64
1545464,2024-07-30,Bronze Medal,Shooting,India,Sarabjot SINGH,2001-09-30,Male,0.0,0.0,Graduated in 2023 with a Bachelor's degree in Arts from the Panjab University (IND),0,1,5,6
