athlete_id,name,birth_date,gender,country,height,weight,education
1558763,Manjola KONINI,1975-08-19,Female,Albania,0.0,0.0,""
1558773,Laura LINDEMANN,1996-06-26,Female,Germany,0.0,0.0,""
1558775,Lasse LUEHRS,1996-05-16,Male,Germany,0.0,0.0,"Business Administration and Management at the IU International University of Applied Sciences (Bad Honnef, GER)"
1558777,Jonas SCHOMBURG,1994-01-31,Male,Germany,0.0,0.0,""
1558780,Tim HELLWIG,1999-06-30,Male,Germany,0.0,0.0,""
1558782,Nina EIM,1998-08-01,Female,Germany,0.0,0.0,""
1558784,Lisa TERTSCH,1998-12-01,Female,Germany,0.0,0.0,"Graduated in Economics at Harvard University, Boston (USA)"
1558815,Youssra ZAKARANI,1995-01-07,Female,Morocco,0.0,0.0,""
1558933,Alexien KOUMA,2005-02-08,Male,Mali,0.0,0.0,""
1558938,Erik Sven THIELE,1996-06-05,Male,Germany,0.0,0.0,""
1558945,Luisa Helga Gerda NIEMESCH,1995-09-07,Female,Germany,0.0,0.0,""
1558946,Sandra PARUSZEWSKI,1993-11-03,Female,Germany,0.0,0.0,Studies Business Administration with a focus on Marketing and Sales at Offenburg University (GER)
1558949,Annika WENDLE,1997-09-15,Female,Germany,0.0,0.0,Studies Primary Education with a focus on Mathematics and Sport
1558950,Anastasia BLAYVAS,2001-01-13,Female,Germany,0.0,0.0,""
1558955,Jello KRAHMER,1995-11-19,Male,Germany,0.0,0.0,Received a Bachelor's degree from Aalen University (GER)
1558963,Lucas Alexandros LAZOGIANIS,2001-04-18,Male,Germany,0.0,0.0,""
1559158,Aichata DIABATE,2005-08-28,Female,Mali,0.0,0.0,""
1559387,Islam DUDAEV,1995-01-15,Male,Albania,0.0,0.0,""
1559454,Aik MNATSAKANIAN,1995-10-14,Male,Bulgaria,0.0,0.0,""
1559457,Demos MEMNELOUM,1994-06-06,Female,Chad,0.0,0.0,"Graduated from the African University of Technology and Management (Cotonou, BEN)"
1559471,Semen Sergeevich NOVIKOV,1997-12-11,Male,Bulgaria,0.0,0.0,Studied at Kharkiv National University of Agriculture (UKR)
1559474,Kiril Milenov MILOV,1997-01-27,Male,Bulgaria,0.0,0.0,""
1559512,Lauriane NOLOT,1998-12-09,Female,France,0.0,0.0,Master's degree in Interface and Experience Design at the Institut Ingemedia (FRA)
1559519,Axel MAZELLA,1997-12-10,Male,France,0.0,0.0,Institute of Masso-Physiotherapy in Montpellier (FRA)
1559523,Helene NOESMOEN,1992-12-31,Female,France,0.0,0.0,Engineering at INSA Rennes (FRA)
1559529,Nicolas GOYARD,1996-01-03,Male,France,0.0,0.0,""
1559539,Louise CERVERA,1998-04-14,Female,France,0.0,0.0,Engineering at INSA Lyon (FRA)
1559542,Jean-Baptiste BERNAZ,1987-07-18,Male,France,0.0,0.0,"BTS Force de Vente - Lycee Audiberti, Antibes (FRA)"
1559549,Camille LECOINTRE,1985-02-25,Female,France,0.0,0.0,"Masters in Chemistry at the University of Western Brittany (Brest, FRA)"
1559550,Jeremie MION,1989-07-05,Male,France,0.0,0.0,"Graduated in 2015 with a Physiotherapy degree from the Institute of Physiotherapy Training Marseille (IFMK) (Marseille, FRA)"
1559558,Sarah STEYAERT,1986-11-27,Female,France,0.0,0.0,""
1559559,Charline PICON,1984-12-23,Female,France,0.0,0.0,"Physiotherapy at Institute of Physiotherapy Training (Marseille, FRA)"
1559566,Erwan FISCHER,1994-01-11,Male,France,0.0,0.0,""
1559568,Clement PEQUIN,1993-02-16,Male,France,0.0,0.0,"University Institute of Technology (La Rochelle, FRA)"
