coach_id,name,gender,function,country,disciplines,birth_date
1974022,MORGAN Kerri,Female,Coach,Canada,Artistic Swimming,1971-06-04
1974025,VOLOSHYNA Anna,Female,Coach,Canada,Artistic Swimming,1991-09-26
1974026,YAKHNO Yelyzaveta,Female,Coach,Canada,Artistic Swimming,1998-06-04
1974386,SAWADOGO Rasmane,Male,Coach,Burkina Faso,Taekwondo,1965-06-25
1974755,BAUR Steve,Male,Assistant Coach,Canada,Basketball,1979-03-31
1974756,BJORKGREN Nate,Male,Assistant Coach,Canada,Basketball,1975-06-20
1974757,CLARKE Carly,Female,Coach,Canada,Basketball,1983-03-07
1974760,FERNANDEZ Jordi,Male,Coach,Canada,Basketball,1982-12-27
1974766,LAPENA Victor,Male,Coach,Canada,Basketball,1975-03-12
1974769,MITCHELL Nathaniel,Male,Assistant Coach,Canada,Basketball,1986-06-27
1974771,N'DONG Boniface,Male,Coach,Canada,Basketball,1977-09-03
1974772,PAGE Murriel,Female,Coach,Canada,Basketball,1975-09-18
1974773,QUINN Noelle,Female,Assistant Coach,Canada,Basketball,1985-01-03
1975398,DENG Luol,Male,Assistant Coach,South Sudan,Basketball,1985-04-16
1975920,CASTANEDA Allen Aldrin,Male,Coach,Philippines,Artistic Gymnastics,1972-07-20
1975923,HRYBANOV Andrii,Male,Coach,Israel,Artistic Gymnastics,1970-10-01
1975934,GRIFFETH Garrett Stephen,Male,Coach,Philippines,Artistic Gymnastics,1986-08-13
1977071,ABAD EXPOSITO Iker Miquel,Male,Coach,Ireland,Taekwondo,2004-07-24
1977388,WALDRUM Randy,Male,Head Coach,Nigeria,Football,1956-09-25
1977689,DIAWARA Kaba,Male,Head Coach,Guinea,Football,1975-12-16
1978161,CAPELLI Claudio,Male,Coach,Switzerland,Artistic Gymnastics,1986-11-16
1978215,GUELZEC Laurent,Male,Coach,Switzerland,Artistic Gymnastics,1971-04-22
1978259,KISTLER Frank,Male,Coach,Switzerland,Artistic Gymnastics,1984-10-08
1978688,MUNOZ BENITEZ Fernando,Male,Head Coach,Egypt,Volleyball,1970-07-27
1980774,KIM Myong Hwa,Female,Coach,DPR Korea,Artistic Gymnastics,1971-03-02
1980904,TRAJKOVIC Ivan Konrad,Male,Coach,Slovenia,Taekwondo,1991-09-01
1980943,PAVLIC Aljaz,Male,Assistant Coach,Slovenia,Handball,1979-01-18
1980962,MIJATOVIC Branka,Female,Assistant Coach,Slovenia,Handball,1973-07-19
1980979,ADZIC Dragan,Male,Head Coach,Slovenia,Handball,1969-12-13
1980981,DROZHANOVA Elena,Female,Coach,Slovenia,Rhythmic Gymnastics,1976-06-24
1980987,CRETU Gheorghe,Male,Head Coach,Slovenia,Volleyball,1968-08-08
1980990,DIVKOVIC Goran,Male,Coach,Slovenia,Taekwondo,1973-01-23
1981325,ZVIZEJ Luka,Male,Assistant Coach,Slovenia,Handball,1980-12-09
1981356,de CECCO Matteo,Male,Assistant Coach,Slovenia,Volleyball,1969-01-23
1981649,RETELJ Natasa,Female,Coach,Slovenia,Artistic Gymnastics,1977-09-12
1981689,ZORMAN Uros,Male,Head Coach,Slovenia,Handball,1980-01-09
1981697,KEDACIC Zoran,Male,Assistant Coach,Slovenia,Volleyball,1984-04-06
1986732,MUGANGUZI Wani,Male,Assistant Coach,Nigeria,Basketball,1990-06-26
2041085,FITZGERALD David,Male,Coach,Ireland,Hockey,1986-10-08
2476695,BAM Jenna,Female,Head Coach,South Africa,Rugby Sevens,1996-12-10
3057892,FALAHATGAR ETMINANI Davoud,Male,Coach,Bulgaria,Taekwondo,1980-06-21
3430822,PETROVIC Aleksandar,Male,Coach,Brazil,Basketball,1959-02-16
3496078,GORIATCHKINE Ivan,Male,Coach,Philippines,Artistic Gymnastics,1995-03-25
3520243,BASILE Leonardo,Male,Coach,EOR,Taekwondo,1983-05-12
3528052,VICTOR John,Male,Coach,Nigeria,Taekwondo,1977-05-22
3538853,DONNELLY Peter,Male,Assistant Coach,Ireland,Rugby Sevens,1983-01-12
3539442,CARSON Luke,Male,Coach,Ireland,Artistic Gymnastics,1989-10-23
3544158,GORBACHEV Stepan,Male,Coach,Ukraine,Artistic Gymnastics,1983-10-02
3545804,MARAJAN Sabit,Male,Coach,South Sudan,Taekwondo,1958-01-01
3546458,DIAWARA Fousseni,Male,Assistant Coach,Guinea,Football,1980-08-28
3546645,CAUKAUNIVALU Setefano,Male,Assistant Coach,Fiji,Rugby Sevens,1978-09-03
3561918,GRANDES Pablo,Male,Assistant Coach,Iraq,Football,1986-10-14
4043244,FONG Lerissa,Female,Head Coach,Samoa,Rugby Sevens,1982-05-13
4043245,POMARE Sapani,Male,Head Coach,Samoa,Rugby Sevens,1969-10-25
4043246,FAALUPEGA Avii,Female,Head Coach,Samoa,Rugby Sevens,1986-03-26
4044836,DAVID EP CHIRILCENCO Georgeta,Female,Coach,Algeria,Artistic Gymnastics,1974-03-10
4119109,ELZEFTAWEY Tarek,Male,Assistant Coach,Egypt,Volleyball,1975-04-12
4645809,GAARENSTROOM Jordan Jon,Male,Coach,Syria,Artistic Gymnastics,1992-01-14
4646497,PROST KOSIR Primoz,Male,Assistant Coach,Slovenia,Handball,1983-07-14
4649776,TRAORE Alioune,Male,Coach,Mali,Taekwondo,1962-06-14
4653058,COCCIA Kristina,Female,Coach,Haiti,Artistic Gymnastics,1988-12-19
4653997,KAMKASOUMPHOU Ekvara,Male,Coach,Mali,Taekwondo,1975-04-12
4658462,KHAJAVI Naeima,Male,Coach,Egypt,Taekwondo,1965-09-19
4847471,LAWSON Franck,Male,Coach,Burkina Faso,Taekwondo,1976-09-23
4968759,Mc DONALD Janelle Leigh,Female,Coach,Philippines,Artistic Gymnastics,1982-12-21
4968917,QUESNEL Yannick,Male,Goalkeeper Coach,Guinea,Football,1973-10-24
4976780,TANSKANEN Juha Petteri,Male,Coach,Syria,Artistic Gymnastics,1971-02-03
5016082,CHOUBA Jaouad,Female,Coach,Guinea-Bissau,Taekwondo,1982-11-02
9230002,HERDEIRO Alvaro Francisco,Male,Assistant Coach,Brazil,Handball,1969-06-23
9230003,MAROJA Gabriel Augusto,Male,Assistant Coach,Brazil,Handball,1996-05-07
9230006,ALONSO BERNARDO Jessica,Female,Assistant Coach,Spain,Handball,1983-09-20
9230010,LARSSON Thomas Erik Daniel,Male,Assistant Coach,Netherlands,Handball,1900-01-01
9230012,CAROU Gonzalo,Male,Assistant Coach,Argentina,Handball,1900-01-01
9230013,CAZON Guillermo,Male,Assistant Coach,Argentina,Handball,1900-01-01
9230017,CAAMANO Juan,Male,Assistant Coach,Spain,Handball,1990-12-06
9230018,TORRESCUSA Ignacio,Male,Assistant Coach,Spain,Handball,1994-07-21
9230020,GJERDE Joar,Male,Assistant Coach,Norway,Handball,1988-11-01
9390001,BONDAR Vladyslav,Male,Coach,Burkina Faso,Taekwondo,1998-03-26
9430008,CICHELLO Juan Manuel,Male,Assistant Coach,Italy,Volleyball,1900-01-01
9450042,VASSILIADES Emmanuel,Male,Assistant Coach,Greece,Water Polo,1979-08-03
