athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1543064,8/8/2024,Bronze Medal,Hockey,India,Sumit SUMIT,12/20/1996,Male,0,0,0,1,5,6
1543088,8/10/2024,Silver Medal,Wrestling,IR Iran,Amir Hossein ZARE,1/16/2001,Male,0,0,3,6,3,12
1543095,8/11/2024,Bronze Medal,Wrestling,IR Iran,Amirali AZARPIRA,3/26/2002,Male,0,0,3,6,3,12
1543304,7/29/2024,Bronze Medal,Swimming,Ireland,Mona Mc SHARRY,8/21/2000,Female,0,0,4,0,3,7
1543317,8/1/2024,Bronze Medal,Rowing,Ireland,Philip DOYLE,9/17/1992,Male,0,0,4,0,3,7
1543322,8/2/2024,Gold Medal,Rowing,Ireland,Fintan Mc CARTHY,11/23/1996,Male,0,0,4,0,3,7
1543506,8/9/2024,Silver Medal,Weightlifting,Colombia,Yeison LOPEZ,9/1/1999,Male,0,0,0,3,1,4
1543509,8/9/2024,Silver Medal,Weightlifting,Colombia,Mari Leivis SANCHEZ,10/8/1991,Female,0,0,0,3,1,4
1543549,7/29/2024,Gold Medal,Swimming,Romania,David POPOVICI,9/15/2004,Male,0,0,3,4,2,9
1543549,7/31/2024,Bronze Medal,Swimming,Romania,David POPOVICI,9/15/2004,Male,0,0,3,4,2,9
1543963,7/31/2024,Gold Medal,Triathlon,France,Cassandre BEAUGRAND,5/23/1997,Female,0,0,16,26,22,64
1543967,7/31/2024,Bronze Medal,Triathlon,France,Leo BERGERE,6/28/1996,Male,0,0,16,26,22,64
1544123,8/6/2024,Bronze Medal,Skateboarding,Great Britain,Sky BROWN,7/7/2008,Female,0,0,14,22,29,65
1544151,8/10/2024,Silver Medal,Artistic Swimming,Great Britain,Kate SHORTMAN,11/19/2001,Female,0,0,14,22,29,65
1544179,8/11/2024,Bronze Medal,Weightlifting,Great Britain,Emily CAMPBELL,5/6/1994,Female,0,0,14,22,29,65
1544218,8/9/2024,Gold Medal,Sport Climbing,Great Britain,Toby ROBERTS,3/15/2005,Male,174,0,14,22,29,65
1544424,8/10/2024,Silver Medal,Weightlifting,Armenia,Varazdat LALAYAN,5/1/1999,Male,0,0,0,3,1,4
1544454,8/1/2024,Bronze Medal,Rowing,Ireland,Daire LYNCH,6/19/1998,Male,0,0,4,0,3,7
1544803,8/9/2024,Silver Medal,Wrestling,IR Iran,Hassan YAZDANICHARATI,12/26/1994,Male,0,0,3,6,3,12
1544830,8/11/2024,Silver Medal,Wrestling,IR Iran,Rahman AMOUZADKHALILI,7/17/2002,Male,0,0,3,6,3,12
1544880,8/8/2024,Silver Medal,Wrestling,IR Iran,Alireza MOHMADIPIANI,10/30/2002,Male,0,0,3,6,3,12
1544882,8/6/2024,Bronze Medal,Wrestling,IR Iran,Amin MIRZAZADEH,1/8/1998,Male,0,0,3,6,3,12
1544897,8/7/2024,Gold Medal,Wrestling,IR Iran,Mohammadhadi SARAVI,1/6/1998,Male,0,0,3,6,3,12
1544928,8/8/2024,Gold Medal,Wrestling,IR Iran,Saeid ESMAEILI LEIVESI,7/15/2003,Male,0,0,3,6,3,12
1545116,8/11/2024,Silver Medal,Modern Pentathlon,France,Elodie CLOUVEL,1/14/1989,Female,0,0,16,26,22,64
1545464,7/30/2024,Bronze Medal,Shooting,India,Sarabjot SINGH,9/30/2001,Male,0,0,0,1,5,6
1545688,8/4/2024,Gold Medal,Artistic Gymnastics,Algeria,Kaylia NEMOUR,12/30/2006,Female,0,0,2,0,1,3
1546651,7/30/2024,Silver Medal,Judo,Georgia,Tato GRIGALASHVILI,12/1/1999,Male,0,0,3,3,1,7
1547863,7/31/2024,Silver Medal,Rowing,Italy,Luca CHIUMENTO,11/19/1997,Male,0,0,12,13,15,40
1547870,8/2/2024,Silver Medal,Rowing,Italy,Stefano OPPO,9/12/1994,Male,0,0,12,13,15,40
1547871,7/31/2024,Silver Medal,Rowing,Italy,Andrea PANIZZA,7/14/1998,Male,0,0,12,13,15,40
1547873,8/2/2024,Silver Medal,Rowing,Italy,Gabriel SOARES,1/22/1997,Male,0,0,12,13,15,40
1548401,8/10/2024,Bronze Medal,Taekwondo,C?e d'Ivoire,Cheick Sallah CISSE,9/19/1993,Male,0,0,0,0,1,1
1548817,7/31/2024,Gold Medal,Judo,Georgia,Lasha BEKAURI,7/26/2000,Male,0,0,3,3,1,7
1548868,8/8/2024,Silver Medal,Canoe Sprint,Italy,Carlo TACCHINI,1/25/1995,Male,0,0,12,13,15,40
1548871,8/8/2024,Silver Medal,Canoe Sprint,Italy,Gabriele CASADEI,8/10/2002,Male,0,0,12,13,15,40
1548948,8/9/2024,Silver Medal,Rhythmic Gymnastics,Bulgaria,Boryana KALEYN,8/23/2000,Female,0,0,3,1,3,7
1550116,8/8/2024,Bronze Medal,Wrestling,Ukraine,Zhan BELENIUK,1/24/1991,Male,0,0,3,5,4,12
1550119,8/8/2024,Silver Medal,Wrestling,Ukraine,Parviz NASIBOV,8/18/1998,Male,0,0,3,5,4,12
1550148,8/7/2024,Silver Medal,Weightlifting,Romania,Mihaela Valentina CAMBEI,11/18/2002,Female,0,0,3,4,2,9
1550162,7/28/2024,Silver Medal,Judo,Kosovo,Distria KRASNIQI,12/10/1995,Female,0,0,0,1,1,2
1550167,7/30/2024,Bronze Medal,Judo,Kosovo,Laura FAZLIU,9/28/2000,Female,0,0,0,1,1,2
1550170,8/5/2024,Bronze Medal,Artistic Gymnastics,Romania,Ana BARBOSU,7/26/2006,Female,0,0,3,4,2,9
1550184,8/4/2024,Bronze Medal,Boxing,Georgia,Lasha GURULI,8/27/1996,Male,178,0,3,3,1,7
1550250,8/8/2024,Silver Medal,Athletics,India,Neeraj CHOPRA,12/24/1997,Male,186,0,0,1,5,6
1550285,8/3/2024,Gold Medal,Rowing,Romania,Adriana ADAM,4/11/1999,Female,0,0,3,4,2,9
