medal_date,medal_type,athlete_id,discipline
2024-08-04,Bronze Medal,1904740,Artistic Gymnastics
2024-08-04,Gold Medal,1545688,Artistic Gymnastics
2024-08-04,Silver Medal,1918872,Artistic Gymnastics
2024-08-04,Bronze Medal,1959866,Artistic Gymnastics
2024-08-04,Gold Medal,1960173,Athletics
2024-08-04,Silver Medal,1980161,Athletics
2024-08-04,Bronze Medal,1960958,Athletics
2024-08-04,Gold Medal,1974151,Athletics
2024-08-04,Silver Medal,1916814,Athletics
2024-08-04,Bronze Medal,1571563,Athletics
2024-08-04,Gold Medal,1571559,Athletics
2024-08-04,Silver Medal,1939838,Athletics
2024-08-04,Bronze Medal,1571577,Athletics
2024-08-04,Bronze Medal,1939763,Athletics
2024-08-04,Bronze Medal,1926315,Badminton
2024-08-04,Bronze Medal,1908817,Boxing
2024-08-04,Bronze Medal,1892464,Boxing
2024-08-04,Bronze Medal,1972293,Boxing
2024-08-04,Bronze Medal,1550184,Boxing
2024-08-04,Bronze Medal,1943368,Boxing
2024-08-04,Bronze Medal,1555548,Boxing
2024-08-04,Bronze Medal,1934790,Boxing
2024-08-04,Bronze Medal,1909011,Boxing
2024-08-04,Bronze Medal,1980125,Boxing
2024-08-04,Bronze Medal,1891890,Boxing
2024-08-04,Gold Medal,1955081,Cycling Road
2024-08-04,Silver Medal,1969165,Cycling Road
2024-08-04,Bronze Medal,1903120,Cycling Road
2024-08-04,Gold Medal,1914905,Equestrian
2024-08-04,Silver Medal,1914909,Equestrian
2024-08-04,Bronze Medal,1970905,Equestrian
2024-08-04,Gold Medal,1951724,Golf
2024-08-04,Silver Medal,1923629,Golf
2024-08-04,Bronze Medal,1961406,Golf
2024-08-04,Gold Medal,1937878,Shooting
2024-08-04,Silver Medal,1977402,Shooting
2024-08-04,Bronze Medal,1944397,Shooting
2024-08-04,Gold Medal,1935902,Swimming
2024-08-04,Silver Medal,1925630,Swimming
2024-08-04,Bronze Medal,1539969,Swimming
2024-08-04,Gold Medal,1572557,Swimming
2024-08-04,Silver Medal,1946212,Swimming
2024-08-04,Bronze Medal,1945125,Swimming
2024-08-04,Gold Medal,1902295,Table Tennis
2024-08-04,Silver Medal,1563390,Table Tennis
2024-08-04,Bronze Medal,1889177,Table Tennis
2024-08-04,Gold Medal,1956398,Tennis
2024-08-04,Silver Medal,1563682,Tennis
2024-08-05,Gold Medal,1919480,Artistic Gymnastics
2024-08-05,Silver Medal,1935685,Artistic Gymnastics
2024-08-05,Bronze Medal,1918864,Artistic Gymnastics
2024-08-05,Bronze Medal,1878037,Artistic Gymnastics
2024-08-05,Gold Medal,1918865,Artistic Gymnastics
2024-08-05,Silver Medal,1897555,Artistic Gymnastics
